Scientific Name,Root,URL,USDA Symbol
Eryngium yuccifolium,PrairieMoon.com,https://www.prairiemoon.com/eryngium-yuccifolium-rattlesnake-master-prairie-moon-nursery.html,ERYU
Erythronium albidum,PrairieMoon.com,https://www.prairiemoon.com/erythronium-albidum-white-trout-lily-prairie-moon-nursery.html,ERAL9
Eupatorium altissimum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-altissimum-tall-boneset-prairie-moon-nursery.html,EUAL3
Eupatorium hyssopifolium,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-hyssopifolium-hyssop-leaved-thoroughwort,EUHY
Eupatorium perfoliatum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-perfoliatum-boneset-prairie-moon-nursery.html,EUPE3
Eupatorium serotinum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-serotinum-late-boneset-prairie-moon-nursery.html,EUSE2
Euphorbia corollata,PrairieMoon.com,https://www.prairiemoon.com/euphorbia-corollata-flowering-spurge-prairie-moon-nursery.html,EUCO10
Euphorbia cyathophora,PrairieMoon.com,https://www.prairiemoon.com/euphorbia-cyathophora-fire-on-the-mountain-prairie-moon-nursery.html,EUCY
Eurybia divaricata,PrairieMoon.com,https://www.prairiemoon.com/eurybia-divaricata-white-wood-aster,EUDI16
Euthamia graminifolia,PrairieMoon.com,https://www.prairiemoon.com/solidago-graminifolia-grass-leaved-goldenrod-prairie-moon-nursery.html,EUGR5
Eutrochium fistulosum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-fistulosum-hollow-joe-pye-weed-prairie-moon-nursery.html,EUFI14
Eutrochium purpureum,PrairieMoon.com,https://www.prairiemoon.com/eupatorium-purpureum-sweet-joe-pye-weed-prairie-moon-nursery.html,EUPU21
Festuca subverticillata,PrairieMoon.com,https://www.prairiemoon.com/festuca-subverticillata-nodding-fescue-prairie-moon-nursery.html,FESU3
Fragaria virginiana,PrairieMoon.com,https://www.prairiemoon.com/fragaria-virginiana-wild-strawberry-prairie-moon-nursery.html,FRVI
Frasera caroliniensis,PrairieMoon.com,https://www.prairiemoon.com/frasera-caroliniensis-american-columbo-prairie-moon-nursery.html,FRCA2
Gaura biennis,PrairieMoon.com,https://www.prairiemoon.com/gaura-biennis-biennial-gaura-prairie-moon-nursery.html,GABI2
Gaura longiflora,PrairieMoon.com,https://www.prairiemoon.com/gaura-longiflora-large-flowered-gaura-prairie-moon-nursery.html,GALO3
Geranium carolinianum,PrairieMoon.com,https://www.prairiemoon.com/geranium-carolinianum-carolina-cranesbill-prairie-moon-nursery.html,GECA5
Geranium maculatum,PrairieMoon.com,https://www.prairiemoon.com/geranium-maculatum-wild-geranium-prairie-moon-nursery.html,GEMA
Glyceria striata,PrairieMoon.com,https://www.prairiemoon.com/glyceria-striata-fowl-manna-grass-prairie-moon-nursery.html,GLST
Helenium autumnale,PrairieMoon.com,https://www.prairiemoon.com/helenium-autumnale-sneezeweed-prairie-moon-nursery.html,HEAU
Helenium flexuosum,PrairieMoon.com,https://www.prairiemoon.com/helenium-flexuosum-purple-headed-sneezeweed-prairie-moon-nursery.html,HEFL
Helianthus angustifolius,PrairieMoon.com,https://www.prairiemoon.com/helianthus-angustifolius-swamp-sunflower,HEAN2
Helianthus divaricatus,PrairieMoon.com,https://www.prairiemoon.com/helianthus-divaricatus-woodland-sunflower-prairie-moon-nursery.html,HEDI2
Helianthus giganteus,PrairieMoon.com,https://www.prairiemoon.com/helianthus-giganteus-tall-sunflower-prairie-moon-nursery.html,HEGI
Helianthus maximiliani,PrairieMoon.com,https://www.prairiemoon.com/helianthus-maximiliani-maximilians-sunflower-prairie-moon-nursery.html,HEMA2
Helianthus mollis,PrairieMoon.com,https://www.prairiemoon.com/helianthus-mollis-downy-sunflower-prairie-moon-nursery.html,HEMO2
Helianthus strumosus,PrairieMoon.com,https://www.prairiemoon.com/helianthus-strumosus-pale-leaved-sunflower-prairie-moon-nursery.html,HEST
Heliopsis helianthoides,PrairieMoon.com,https://www.prairiemoon.com/heliopsis-helianthoides-early-sunflower-prairie-moon-nursery.html,HEHE5
Hibiscus laevis,PrairieMoon.com,https://www.prairiemoon.com/hibiscus-laevis-rose-mallow-prairie-moon-nursery.html,HILA2
Hibiscus moscheutos,PrairieMoon.com,https://www.prairiemoon.com/hibiscus-moscheutos-swamp-rose-mallow-prairie-moon-nursery.html,HIMO
Houstonia longifolia,PrairieMoon.com,https://www.prairiemoon.com/houstonia-longifolia-longleaf-bluets-prairie-moon-nursery.html,HOLO
Hydrophyllum appendiculatum,PrairieMoon.com,https://www.prairiemoon.com/hydrophyllum-appendiculatum-great-waterleaf-prairie-moon-nursery.html,HYAP
Hydrophyllum virginianum,PrairieMoon.com,https://www.prairiemoon.com/hydrophyllum-virginianum-virginia-waterleaf-prairie-moon-nursery.html,HYVI
