,Sun Exposure,Sun Exposure,index,Soil Moisture,index,Plant Type,index,Pollinators,index,Flowering Months,index,Height (feet),index,Showy
188,,,,,,,Butterflies; Larval Host (Moth); Wind,1,,,5–15,1,,
189,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Hummingbirds",1,,,0.3–1,1,,
190,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",1,,,,,,
191,,,,,,,Native Bees; Bombus; Larval Host (Butterfly),1,,,,,,
192,,,,,,,"Beetles, Wasps, Flies; Moths; Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
193,,,,,,,"Beetles, Wasps, Flies; Moths; Larval Host (Butterfly)",1,,,,,,
194,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly)",1,,,,,,
195,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
196,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Monarch); Larval Host (Butterfly)",1,,,,,,
197,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Monarch); Larval Host (Butterfly); Hummingbirds",1,,,,,,
198,,,,,,,Native Bees; Bombus; Moths; Butterflies; Larval Host (Butterfly); Hummingbirds,1,,,,,,
199,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
200,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
201,,,,,,,Native Bees; Bombus; Moths; Butterflies; Larval Host (Moth); Hummingbirds,1,,,,,,
202,,,,,,,Bombus; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds,1,,,,,,
203,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
204,,,,,,,Native Bees; Larval Host (Moth); Wind,1,,,,,,
205,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Hummingbirds",1,,,,,,
206,,,,,,,Native Bees; Bombus; Honey Bees,1,,,,,,
207,,,,,,,Bombus; Butterflies; Hummingbirds,1,,,,,,
208,,,,,,,Native Bees; Larval Host (Moth); Hummingbirds,1,,,,,,
209,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Hummingbirds",1,,,,,,
210,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths",1,,,,,,
211,,,,,,,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind",1,,,,,,
212,,,,,,,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
213,,,,,,,"Native Bees; Beetles, Wasps, Flies; Moths",1,,,,,,
214,,,,,,,Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth),1,,,,,,
215,,,,,,,"Native Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Monarch); Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
216,,,,,,,Butterflies; Larval Host (Monarch); Larval Host (Butterfly),1,,,,,,
217,,,,,,,Native Bees; Bombus; Honey Bees; Butterflies; Monarchs; Larval Host (Moth),1,,,,,,
218,,,,,,,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",1,,,,,,
