Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
ARFU2,,Arctophila fulva (Trin.) Rupr. ex Andersson,pendantgrass
ARFU3,,Arnica fulgens Pursh,foothill arnica
ARFUH,,Artemisia furcata M. Bieb. var. heterophylla (Besser) Hultén,forked wormwood
ARGI,,Arundinaria gigantea (Walter) Muhl.,giant cane
ARGL4,,Arctostaphylos glauca Lindl.,bigberry manzanita
ARHA10,,Arachis hagenbeckii Harms,rhizoma peanut
ARHE12,,Araucaria heterophylla (Salisb.) Franco,Norfolk Island pine
ARHO2,,Arabis holboellii Hornem.,Holboell's rockcress
ARKI,,Arenaria kingii (S. Watson) M.E. Jones,King's sandwort
ARLA2,,Arctagrostis latifolia (R. Br.) Griseb.,wideleaf polargrass
ARLA8,,Arnica latifolia Bong.,broadleaf arnica
ARLO6,,Arnica longifolia D.C. Eaton,spearleaf arnica
ARLU,,Artemisia ludoviciana Nutt.,white sagebrush
ARMA,,Arctostaphylos manzanita Parry,whiteleaf manzanita
ARMA6,,Armeria maritima (Mill.) Willd.,thrift seapink
ARME,,Arbutus menziesii Pursh,Pacific madrone
ARME6,,Aronia melanocarpa (Michx.) Elliott,black chokeberry
ARME6,PHME13,Photinia melanocarpa (Michx.) K.R. Robertson & Phipps,
ARMO4,,Arnica mollis Hook.,hairy arnica
ARNE,,Arctostaphylos nevadensis A. Gray,pinemat manzanita
ARNO4,,Artemisia nova A. Nelson,black sagebrush
ARNU2,,Aralia nudicaulis L.,wild sarsaparilla
ARPA6,,Arctostaphylos patula Greene,greenleaf manzanita
ARPLP,,Argemone pleiacantha Greene ssp. pinnatisecta G.B. Ownbey,southwestern pricklypoppy
ARPO2,,Argemone polyanthemos (Fedde) G.B. Ownbey,crested pricklypoppy
ARPU5,,Arctostaphylos pungens Kunth,pointleaf manzanita
ARPUL,,Aristida purpurea Nutt. var. longiseta (Steud.) Vasey,Fendler threeawn
ARRI2,,Artemisia rigida (Nutt.) A. Gray,scabland sagebrush
ARSP2,,Aralia spinosa L.,devil's walkingstick
ARST5,,Aristida stricta Michx.,pineland threeawn
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARTI,,Artemisia tilesii Ledeb.,Tilesius' wormwood
ARTR,,Arisaema triphyllum (L.) Schott,Jack in the pulpit
ARTR2,,Artemisia tridentata Nutt.,big sagebrush
ARTR4,,Artemisia tripartita Rydb.,threetip sagebrush
ARTRT,,Artemisia tridentata Nutt. ssp. tridentata,basin big sagebrush
ARTRV,,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,mountain big sagebrush
ARTRW8,,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
ARUV,,Arctostaphylos uva-ursi (L.) Spreng.,kinnikinnick
ASAG2,,Astragalus agrestis Douglas ex G. Don,purple milkvetch
ASAL3,,Aster alpinus L.,alpine aster
ASCA11,,Astragalus canadensis L.,Canadian milkvetch
ASCI4,,Astragalus cicer L.,chickpea milkvetch
ASCU4,,Astragalus curvicarpus (A. Heller) J.F. Macbr.,curvepod milkvetch
ASFI,,Astragalus filipes Torr. ex A. Gray,basalt milkvetch
ASIN,,Asclepias incarnata L.,swamp milkweed
ASLE8,,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch
ASMOM5,,Astragalus mollissimus Torr. var. mollissimus,woolly locoweed
ASPU9,,Astragalus purshii Douglas ex Hook.,woollypod milkvetch
ASSP,,Asclepias speciosa Torr.,showy milkweed
ASTR,,Asimina triloba (L.) Dunal,pawpaw
ASTU,,Asclepias tuberosa L.,butterfly milkweed
ATAP,,Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii],moundscale
ATCA2,,Atriplex canescens (Pursh) Nutt.,fourwing saltbush
ATCO,,Atriplex confertifolia (Torr. & Frém.) S. Watson,shadscale saltbush
ATFA,,Atriplex falcata (M.E. Jones) Standl.,sickle saltbush
ATFI,,Athyrium filix-femina (L.) Roth,common ladyfern
ATGA,,Atriplex gardneri (Moq.) D. Dietr.,Gardner's saltbush
ATLE,,Atriplex lentiformis (Torr.) S. Watson,big saltbush
ATNU,,Atriplex nummularia Lindl.,bluegreen saltbush
ATPO,,Atriplex polycarpa (Torr.) S. Watson,cattle saltbush
ATSE,,Atriplex semibaccata R. Br.,Australian saltbush
AVFA,,Avena fatua L.,wild oat
AVGE,,Avicennia germinans (L.) L.,black mangrove
AVSA,,Avena sativa L.,common oat
AVST2,,Avena strigosa Schreb.,black oats
AXCO,,Axonopus compressus (Sw.) P. Beauv.,broadleaf carpetgrass
BAAM4,,Bassia americana (S. Watson) A.J. Scott,green molly
BAAM4,KOAM,Kochia americana S. Watson,
BAAN,,Baccharis angustifolia Michx.,saltwater false willow
BACA3,,Balsamorhiza careyana A. Gray,Carey's balsamroot
BAHA,,Baccharis halimifolia L.,eastern baccharis
BAHO,,Balsamorhiza hookeri (Hook.) Nutt.,Hooker's balsamroot
BAHOH,,Balsamorhiza hookeri (Hook.) Nutt. var. hirsuta (Nutt.) A. Nelson,hairy balsamroot
BAHY,,Bassia hyssopifolia (Pall.) Kuntz,fivehorn smotherweed
BAMA4,,Balsamorhiza macrophylla Nutt.,cutleaf balsamroot
BAMA5,,Batis maritima L.,turtleweed
BAPI,,Baccharis pilularis DC.,coyotebrush
BAPR5,,Bassia prostrata (L.) A.J. Scott,forage kochia
BAPR5,KOPR80,Kochia prostrata (L.) Schrad.,
BARO,,Bacopa rotundifolia (Michx.) Wettst.,disk waterhyssop
BASA2,,Baccharis sarothroides A. Gray,desertbroom
BASA3,,Balsamorhiza sagittata (Pursh) Nutt.,arrowleaf balsamroot
BASA4,,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat
BASC5,,Bassia scoparia (L.) A.J. Scott,burningbush
BASC5,KOSC,Kochia scoparia (L.) Schrad.,
BASE2,,Balsamorhiza serrata A. Nelson & J.F. Macbr.,serrate balsamroot
BATI,,Baptisia tinctoria (L.) R. Br.,horseflyweed
BAVU2,,Bambusa vulgaris Schrad. ex J.C. Wendl.,common bamboo
BEAL2,,Betula alleghaniensis Britton,yellow birch
BEER,,Berula erecta (Huds.) Coville,cutleaf waterparsnip
BEFE,,Berberis fendleri A. Gray,Colorado barberry
BEJU4,,Berberis julianae C.K. Schneid.,wintergreen barberry
BEJU4,BEJU3,"Berberis julianiae C.K. Schneid., orth. var.",
BELE,,Betula lenta L.,sweet birch
BELY,,Berlandiera lyrata Benth.,lyreleaf greeneyes
BENA,,Betula nana L.,dwarf birch
BENI,,Betula nigra L.,river birch
BEOC2,,Betula occidentalis Hook.,water birch
BEPA,,Betula papyrifera Marshall,paper birch
BEPE,,Beilschmiedia pendula (Sw.) Hemsl.,slugwood
BEPE3,,Betula pendula Roth,European white birch
BEPO,,Betula populifolia Marshall,gray birch
BEPU4,,Betula pumila L.,bog birch
BESY,,Beckmannia syzigachne (Steud.) Fernald,American sloughgrass
BETH,,Berberis thunbergii DC.,Japanese barberry
BIAR,,Bidens aristosa (Michx.) Britton,bearded beggarticks
BICE,,Bidens cernua L.,nodding beggartick
BICO,,Bidens coronata (L.) Britton,crowned beggarticks
BICO5,,Bidens connata Muhl. ex Willd.,purplestem beggarticks
BIDI,,Bidens discoidea (Torr. & A. Gray) Britton,small beggarticks
BIFR,,Bidens frondosa L.,devil's beggartick
BILA,,"Bidens laevis (L.) Britton, Sterns & Poggenb.",smooth beggartick
BIMI,,Bidens mitis (Michx.) Sherff,smallfruit beggarticks
BITR,,Bidens tripartita L.,threelobe beggarticks
BLSP,,Blechnum spicant (L.) Sm.,deer fern
BLTR,,Blepharoneuron tricholepis (Torr.) Nash,pine dropseed
BOAS,,Boltonia asteroides (L.) L'Hér.,white doll's daisy
BOBA3,,Bothriochloa barbinodis (Lag.) Herter,cane bluestem
BOBL,,Bothriochloa bladhii (Retz.) S.T. Blake,Caucasian bluestem
BOBR,,Bouteloua breviseta Vasey,gypsum grama
BOCU,,Bouteloua curtipendula (Michx.) Torr.,sideoats grama
BOCY,,Boehmeria cylindrica (L.) Sw.,smallspike false nettle
BODA2,,Bouteloua dactyloides (Nutt.) J.T. Columbus,buffalograss
BODA2,BUDA,Buchloe dactyloides (Nutt.) Engelm.,
BOER4,,Bouteloua eriopoda (Torr.) Torr.,black grama
BOFL3,,Bolboschoenus fluviatilis (Torr.) Soják,river bulrush
BOFL3,SCFL11,Schoenoplectus fluviatilis (Torr.) M.T. Strong,
BOFR,,Borrichia frutescens (L.) DC.,bushy seaside tansy
BOGR2,,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,blue grama
BOHI2,,Bouteloua hirsuta Lag.,hairy grama
BOISI,,Bothriochloa ischaemum (L.) Keng var. ischaemum,yellow bluestem
BOISS,,Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan,yellow bluestem
BOLA,,Botrychium lanceolatum (S.G. Gmel.) Angstr.,lanceleaf grapefern
BOLU,,Botrychium lunaria (L.) Sw.,common moonwort
BOMA7,,Bolboschoenus maritimus (L.) Palla,cosmopolitan bulrush
BOMA7,SCMA8,Schoenoplectus maritimus (L.) Lye,
